gat_kodas,tipas,pavadinimas,gyvenamoji_vietove._id
1124778,akligatvis,Kaštonų,5426570a-55a4-48ba-b95f-3d16e9ff402a
1124782,gatvė,Antagavės,2a268366-4962-4a5f-9605-8aa022ff7da9
1124801,kelias,Vytauto Didžiojo,8bfbf516-5c79-401a-a309-4369b0a65a70
1124892,gatvė,Aristavos,f2efdad9-893e-4db7-8de4-dee7a00321bf
1124907,gatvė,Tiskūnų,eba383be-f55e-4d60-973d-9f8d5bf52e2b
1124911,gatvė,Bičkų,eba383be-f55e-4d60-973d-9f8d5bf52e2b
1124945,gatvė,Švenčionių,2a268366-4962-4a5f-9605-8aa022ff7da9
1125019,gatvė,Danės,a04cd780-5d01-4f78-baea-2bc7d87a2fea
1125023,gatvė,Andulių,a04cd780-5d01-4f78-baea-2bc7d87a2fea
1125038,gatvė,Danės,7742c8b6-6298-47e9-b579-4ca7d93fc7ee
1125042,gatvė,Petreikių,7742c8b6-6298-47e9-b579-4ca7d93fc7ee
1125057,gatvė,Šaltupio,7742c8b6-6298-47e9-b579-4ca7d93fc7ee
1125061,gatvė,Naujakurių,4efcfb7e-73e5-4fd3-92ea-17d3557246b9
1125076,gatvė,Upelio,4efcfb7e-73e5-4fd3-92ea-17d3557246b9
1125095,gatvė,Jazminų,4efcfb7e-73e5-4fd3-92ea-17d3557246b9
1125114,gatvė,Jaunimo,4efcfb7e-73e5-4fd3-92ea-17d3557246b9
1125129,gatvė,Giminių,57cdc0ee-82ef-493a-96ca-e05c425673f1
1125133,gatvė,Mindaugo,b75e078b-b99b-4022-aef7-def8674a5fa3
1125148,gatvė,Pyvesos,2b93bacc-4e3e-48cc-9f98-b12694e940df
1125167,gatvė,Bažnyčios,1ae68d8f-f071-49d0-b856-36f45efe315a
1125186,gatvė,Miško,1ae68d8f-f071-49d0-b856-36f45efe315a
1125262,gatvė,Sodininkų,dddb58a6-55cb-4b75-98be-a00eaeb8237c
1125812,gatvė,Mokyklos,ad4daabb-a631-422e-bb9c-7c252a15f3ac
1125899,gatvė,Ilgės,720d1ffc-a982-48ff-ad89-adc393bb747c
1126053,gatvė,Lauko,325027c7-caa9-427a-8423-670f4750b7b0
1126072,gatvė,Dvaro,5659612c-bb30-4d84-86be-c560f7531dfa
1126474,gatvė,Pamiškės,2d237d78-c881-4315-9fdf-c23a4bb97e4f
1126489,gatvė,Pastovėlio,2d237d78-c881-4315-9fdf-c23a4bb97e4f
1126493,gatvė,Drūkšių,2d237d78-c881-4315-9fdf-c23a4bb97e4f
1126508,gatvė,Skryto,2d237d78-c881-4315-9fdf-c23a4bb97e4f
1126512,gatvė,Pasamanės,2d237d78-c881-4315-9fdf-c23a4bb97e4f
1126527,gatvė,Gulbinio,2d237d78-c881-4315-9fdf-c23a4bb97e4f
1126531,gatvė,Žiemgalių,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1126546,gatvė,Sėlių,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1126565,gatvė,Pakrantės,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1126599,gatvė,Katilinės,7cbf14b7-d3f2-4740-b55d-bd2de5adce12
1126952,gatvė,Vienuolyno,3a7e05e0-9a94-49ed-93d9-3c9f9577f25b
1126967,gatvė,Skaldyklos,fd0aaaff-ffd4-4bb4-87c0-45ce76dc8cdd
1127356,gatvė,Gėlių,229c602b-cb0a-45ec-818d-42432430d096
1127375,gatvė,Lanko,229c602b-cb0a-45ec-818d-42432430d096
1127394,gatvė,Vakaro,229c602b-cb0a-45ec-818d-42432430d096
1127413,gatvė,Smalvo,2d237d78-c881-4315-9fdf-c23a4bb97e4f
1127428,gatvė,Balto,2d237d78-c881-4315-9fdf-c23a4bb97e4f
1127432,gatvė,Eglinio,2d237d78-c881-4315-9fdf-c23a4bb97e4f
1127447,gatvė,Imaudo,2d237d78-c881-4315-9fdf-c23a4bb97e4f
1127451,gatvė,Piliakalnio,01529e40-2fb6-414d-8aa9-9fce25b6e394
1127466,gatvė,Lauko,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1127485,gatvė,Akmenų,d68de5c3-fbf7-45ce-b222-58fbb3d7c93f
1127523,gatvė,Gaidės,66799f53-d2e9-4279-b211-8081fb0db1bf
1127538,gatvė,Gulbinės,66799f53-d2e9-4279-b211-8081fb0db1bf
1127542,gatvė,Aušros,66799f53-d2e9-4279-b211-8081fb0db1bf
1127557,gatvė,Rasos,66799f53-d2e9-4279-b211-8081fb0db1bf
